Gender,Height,Weight,Height (cm),Weight (kg)
Male,73.84701702,241.8935632,187.5714232,109.7209851
Male,68.78190405,162.3104725,174.7060363,73.62273185
Male,74.11010539,212.7408556,188.2396677,96.49755015
Male,71.7309784,220.0424703,182.1966851,99.80950419
Male,69.88179586,206.3498006,177.4997615,93.59861876
Male,67.25301569,152.2121558,170.8226598,69.04221615
Male,68.78508125,183.9278886,174.7141064,83.42821885
Male,68.34851551,167.9711105,173.6052294,76.19035195
Male,67.01894966,175.9294404,170.2281321,79.80018673
Male,63.45649398,156.3996764,161.1794947,70.94164201
Male,71.19538228,186.6049256,180.836271,84.64250139
Male,71.64080512,213.7411695,181.967645,96.95128455
Male,64.76632913,167.1274611,164.506476,75.80767932
Male,69.2830701,189.4461814,175.978998,85.93127231
Male,69.24373223,186.434168,175.8790799,84.56504714
Male,67.6456197,172.1869301,171.819874,78.10261398
Male,72.41831663,196.0285063,183.9425242,88.91696224
Male,63.97432572,172.8834702,162.4947873,78.41855902
Male,69.6400599,185.9839576,176.8857521,84.36083528
Male,67.93600485,182.426648,172.5574523,82.74726813
Male,67.91505019,174.1159291,172.5042275,78.9775925
Male,69.43943987,197.7314216,176.3761773,89.68939099
Male,66.14913196,149.173566,168.0187952,67.66393615
Male,75.20597361,228.7617806,191.023173,103.7645136
Male,67.89319634,162.0066518,172.4487187,73.48492123
Male,68.1440328,192.3439766,173.0858433,87.24568902
Male,69.08963143,184.4351744,175.4876638,83.65831963
Male,72.80084352,206.8281894,184.9141425,93.8156121
Male,67.42124228,175.2139224,171.2499554,79.47563349
Male,68.49641536,154.3426389,173.980895,70.00858628
Male,68.61811055,187.5068432,174.2900008,85.051604
Male,74.03380762,212.9102253,188.0458714,96.57437493
Male,71.52821604,195.0322432,181.6816687,88.46506527
Male,69.1801611,205.1836213,175.7176092,93.06964917
Male,69.57720237,204.1641255,176.726094,92.60721401
Male,70.40092889,192.9035151,178.8183594,87.49949121
Male,69.07617117,197.4882426,175.4534748,89.57908694
Male,67.19352328,183.8109732,170.6715491,83.37518697
Male,65.80731565,163.8518249,167.1505818,74.32187695
Male,64.30418789,163.1080171,163.3326372,73.98449171
Male,67.97433623,172.1355974,172.654814,78.0793299
Male,72.18942596,194.0454049,183.3611419,88.0174433
Male,65.27034552,168.6177462,165.7866776,76.48366074
Male,66.09017738,161.1934326,167.8690505,73.11605148
Male,67.51032152,164.6602773,171.4762166,74.68858448
Male,70.10478626,188.9223032,178.0661571,85.69364533
Male,68.25183644,187.0605522,173.3596646,84.84916998
Male,72.17270912,209.0708634,183.3186812,94.83287107
Male,69.17985762,192.0143354,175.7168384,87.09616643
Male,72.87036015,211.3424968,185.0907148,95.86326582
Male,64.78258298,165.6116262,164.5477608,75.12010874
Male,70.18354989,201.0719181,178.2662167,91.20461347
Male,68.49145025,173.4239603,173.9682836,78.66372102
Male,67.33083088,181.4076793,171.0203104,82.28507206
Male,66.99094408,169.7377074,170.156998,76.99166618
Male,66.4995499,163.3095283,168.9088567,74.07589557
Male,68.35305665,189.7102099,173.6167639,86.05103355
Male,70.77445907,192.1248473,179.767126,87.14629376
Male,71.21592367,198.1984641,180.8884461,89.90123773
Male,70.01336535,209.5264998,177.833948,95.03954411
Male,71.40318222,198.7597927,181.3640828,90.15585187
Male,69.55200509,198.0795237,176.6620929,89.84728729
Male,73.81853456,195.2906122,187.4990778,88.58225936
Male,66.99688275,164.943303,170.1720822,74.81696269
Male,71.41846589,179.8639023,181.4029034,81.58482719
Male,65.27930021,155.2504207,165.8094225,70.42034882
Male,68.27419147,184.5193912,173.4164463,83.69651972
Male,72.76536995,220.6780415,184.8240397,100.0977942
Male,68.0993798,183.3126553,172.9724247,83.14915395
Male,68.89670607,196.4513123,174.9976334,89.10874364
Male,69.28950996,184.5956083,175.9953553,83.73109116
Male,70.52322452,207.5328385,179.1289903,94.13523529
Male,69.66372523,177.2009288,176.9458621,80.37692367
Male,67.59526881,163.1080022,171.6919828,73.98448494
Male,72.50812038,216.2182301,184.1706258,98.07485943
Male,71.2529856,204.6554938,180.9825834,92.83009475
Male,71.80918689,200.9205712,182.3953347,91.13596374
Male,72.24516548,220.9017699,183.5027203,100.1992756
Male,66.51262766,196.4498603,168.9420743,89.10808505
Male,66.029034,168.64081,167.7137464,76.49412231
Male,67.57715394,181.432713,171.645971,82.29642716
Male,68.2465686,198.6586733,173.3462842,90.10998495
Male,73.826127,237.9167359,187.5183626,107.9171281
Male,69.80246436,173.0412559,177.2982595,78.49012935
Male,65.95957778,160.6839166,167.5373276,72.88493912
Male,71.07901758,188.6029191,180.5407046,85.54877527
Male,66.59619654,208.345694,169.1543392,94.50394005
Male,68.95153509,193.4351185,175.1368991,87.74062225
Male,68.24446179,174.1096938,173.340933,78.97476423
Male,72.31682512,197.3685892,183.6847358,89.52481313
Male,71.81542045,201.6206667,182.4111679,91.45352147
Male,65.23704952,181.0119732,165.7021058,82.10558297
Male,70.64053009,182.122486,179.4269464,82.60930266
Male,64.7319256,177.5492634,164.419091,80.53492549
Male,67.10355118,164.9745807,170.44302,74.83115
Male,65.11748489,165.7171122,165.3984116,75.16795635
Male,71.70123402,193.0941635,182.1211344,87.58596783
Male,66.83287821,180.683887,169.7555106,81.95676566
Male,66.47127526,172.7737229,168.8370392,78.36877853
Male,69.41152622,177.4706162,176.3052766,80.49925176
Male,70.05217747,200.8187373,177.9325308,91.0897727
Male,66.74360465,167.7397753,169.5287558,76.08542018
Male,66.27432912,154.3956248,168.336796,70.03262023
Male,68.32844799,177.9847286,173.5542579,80.73244902
Male,70.0758882,183.938857,177.992756,83.433194
Male,68.73298815,179.2047821,174.5817899,81.28585551
Male,67.55605126,158.5679874,171.5923702,71.92517053
Male,66.25363253,166.5035316,168.2842266,75.52466992
Male,69.18220268,171.9836776,175.7227948,78.0104203
Male,67.60910494,174.3641824,171.7271266,79.09019821
Male,69.29273802,187.7453519,176.0035546,85.15978964
Male,68.19068401,201.4879624,173.2043374,91.39332783
Male,71.6070858,204.9270121,181.8819979,92.95325329
Male,69.19685751,178.6855465,175.7600181,81.05033439
Male,67.26196098,164.0144277,170.8453809,74.39563231
Male,73.6851934,223.2700044,187.1603912,101.2734878
Male,69.53721501,202.9583063,176.6245261,92.06026406
Male,68.31155984,189.3917856,173.511362,85.90659882
Male,67.73896347,178.1705556,172.0569672,80.81673865
Male,71.7057626,223.2993352,182.132637,101.2867921
Male,63.6322646,167.0287067,161.6259521,75.76288511
Male,68.72119846,180.468682,174.5518441,81.85915041
Male,66.94934165,164.4391456,170.0513278,74.58828094
Male,62.70698974,149.9696184,159.2757539,68.02501916
Male,72.25840892,192.9102666,183.5363587,87.50255363
Male,70.90865306,201.8839987,180.1079788,91.57296674
Male,67.6098436,179.868026,171.7290027,81.58669764
Male,70.80155896,196.4677247,179.8359597,89.11618817
Male,69.30476905,187.5516495,176.0341134,85.0719278
Male,66.24289834,171.6931597,168.2569618,77.87864369
Male,67.49219298,191.6996048,171.4301702,86.95340713
Male,65.80624829,165.8506478,167.1478707,75.22852703
Male,71.44370566,185.6627413,181.4670124,84.21513416
Male,68.46440582,178.2818007,173.8995908,80.86719856
Male,63.9879246,150.9790513,162.5293285,68.48288981
Male,71.00189769,209.9293234,180.3448201,95.22226167
Male,68.13972419,174.1578043,173.0748994,78.99658679
Male,68.39540025,179.8789771,173.7243166,81.59166498
Male,68.09621975,167.7471412,172.9643982,76.08876129
Male,68.14059036,183.0446604,173.0770995,83.02759359
Male,68.86009031,169.5568208,174.9046294,76.90961745
Male,66.14885254,173.4316727,168.0180855,78.66721927
Male,66.20603205,180.8895546,168.1633214,82.05005485
Male,67.43212021,183.5089329,171.2775853,83.23818387
Male,69.47110603,205.9779102,176.4566093,93.42993223
Male,70.51585969,183.7598452,179.1102836,83.3519957
Male,71.33837604,201.9544955,181.1994751,91.60494351
Male,71.00194477,216.1200947,180.3449397,98.03034601
Male,66.20234771,159.3903237,168.1539632,72.29817573
Male,72.54330705,210.3364247,184.2599999,95.40691954
Male,67.47935176,178.6183502,171.3975535,81.01985469
Male,65.35041056,146.7397976,165.9900428,66.55999829
Male,70.84406242,195.937015,179.9439185,88.8754625
Male,69.93847526,170.1758538,177.6437272,77.19040588
Male,64.73981548,169.6540541,164.4391313,76.95372172
Male,69.30840288,198.3786936,176.0433433,89.98298841
Male,68.83846286,179.9077169,174.8496957,81.60470113
Male,61.93732327,147.2636865,157.3208011,66.79763009
Male,68.59333554,176.9842511,174.2270723,80.27864043
Male,65.21857558,185.4677884,165.655182,84.12670506
Male,64.33364811,177.4938023,163.4074662,80.50976879
Male,68.7489067,169.8274774,174.622223,77.03238514
Male,72.4896554,198.5816982,184.1237247,90.07506967
Male,67.23393092,203.3503393,170.7741845,92.23808709
Male,67.26360484,193.2176727,170.8495563,87.64199059
Male,65.11850428,178.1349452,165.4010009,80.80058605
Male,66.26282004,162.7795834,168.3075629,73.8355168
Male,67.70167966,159.2865106,171.9622663,72.25108692
Male,65.53069597,172.114312,166.4479678,78.06967499
Male,69.86896981,201.8370426,177.4671833,91.55166782
Male,68.48187536,170.3523296,173.9439634,77.27045387
Male,72.21396335,205.3897607,183.4234669,93.16315234
Male,68.17953269,169.7877681,173.176013,77.0143733
Male,71.98120654,200.4373105,182.8322646,90.91676056
Male,66.06513673,178.588954,167.8054473,81.00652084
Male,66.65616417,168.0140297,169.306657,76.20981978
Male,67.5994242,177.7664258,171.7025375,80.63342863
Male,68.24594409,193.277624,173.344698,87.66918403
Male,64.80862144,162.3795406,164.6138985,73.6540606
Male,67.49221827,183.3838244,171.4302344,83.18143567
Male,68.18073071,181.0560953,173.179056,82.12559637
Male,69.5533849,210.871799,176.6655977,95.64976103
