Altura,Peso
187,109.720
177,91.090
180,88.930
177,89.390
177,92.020
183,94.700
178,83.570
177,85.190
183,92.960
188,108.210
168,71.340
178,90.000
164,71.220
173,85.340
176,85.080
172,77.490
170,76.840
182,92.730
179,89.820
173,87.290
175,85.820
169,79.330
183,89.990
161,70.970
177,84.850
155,55.650
171,70.840
185,97.840
186,92.310
162,69.800
172,86.140
176,86.980
177,84.250
168,74.190
180,93.330
184,84.920
161,69.910
166,71.990
188,95.380
179,91.290
174,80.780
170,82.990
180,87.920
191,100.130
194,108.720
176,92.010
174,93.670
171,80.990
174,76.910
187,99.330
149,46.310
162,66.790
156,59.430
145,48.350
152,51.440
166,65.110
171,77.390
162,65.490
168,72.820
154,52.070
165,63.500
158,61.180
162,63.250
159,55.820
154,48.660
176,82.380
164,61.590
154,59.260
161,60.800
161,54.800
159,64.770
169,73.750
153,52.350
150,47.170
179,81.670
163,58.600
177,75.890
170,75.070
164,57.350
168,72.920
156,53.760
163,57.440
169,72.340
178,76.000
163,61.230
157,56.930
162,66.010
161,62.040
160,54.380
156,64.650
148,48.890
160,55.150
162,58.470
159,67.860
170,74.470
166,57.140
165,71.160
159,68.750
159,58.220
167,66.660
